,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,10.0,0,0.5,150,0.003033507999999685,550
1,10.0,1,0.5,150,0.018901172999999716,550
2,10.0,2,0.5,150,0.03174012400000059,550
3,12.0,3,0.5,150,0.045764628000000585,550
4,12.0,4,0.5,150,0.060251530000000386,550
5,13.0,5,0.5,150,0.07335100300000086,550
6,13.0,6,0.5,150,0.08614752999999986,550
7,15.0,7,0.5,150,0.09881797799999958,550
8,15.0,8,0.5,150,0.11220663299999956,550
9,16.0,9,0.5,150,0.1254337690000007,550
10,16.0,10,0.5,150,0.1391302759999995,550
11,17.0,11,0.5,150,0.15243350299999925,550
12,17.0,12,0.5,150,0.16561249499999953,550
13,113.0,13,0.5,150,0.17879722300000012,550
14,115.0,14,0.5,150,0.19216060399999968,550
15,115.0,15,0.5,150,0.2062001930000008,550
16,115.0,16,0.5,150,0.21838050899999928,550
17,115.0,17,0.5,150,0.2306653739999991,550
18,115.0,18,0.5,150,0.2428641959999993,550
19,116.0,19,0.5,150,0.25523602300000015,550
20,118.0,20,0.5,150,0.2678303799999995,550
21,118.0,21,0.5,150,0.2804166919999993,550
22,118.0,22,0.5,150,0.29297973000000077,550
23,118.0,23,0.5,150,0.30549854500000073,550
24,118.0,24,0.5,150,0.3179960079999997,550
25,118.0,25,0.5,150,0.3305811520000006,550
26,118.0,26,0.5,150,0.3430873109999997,550
27,118.0,27,0.5,150,0.3576318789999995,550
28,118.0,28,0.5,150,0.37274755299999995,550
29,118.0,29,0.5,150,0.3876149600000005,550
30,118.0,30,0.5,150,0.4013074680000006,550
